latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
-20.15627,-58.93851,315.1,0.4,0.5,2017-04-29,04:42,N,nominal,1.0NRT,285.1,1.5
-20.25348,-59.52801,302.2,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,285.2,1
-21.7711,-56.0282,299.1,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.6,0.4
-21.60607,-58.35826,298.8,0.4,0.5,2017-04-29,04:42,N,nominal,1.0NRT,284.5,0.4
-23.07308,-52.11666,316.7,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.3,1.5
-23.07645,-52.11724,336.4,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.9,1.5
-23.07587,-52.1211,295.6,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.6,1.5
-23.11281,-53.15895,322,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.7,1.7
-23.11555,-53.16326,310.6,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.8,1.1
-23.11613,-53.15955,312.3,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.2,1.1
-23.28767,-54.44086,310.9,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.4,0.6
-23.63012,-56.86494,296.5,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.1,0.4
-23.63293,-56.87021,299.3,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.1,1.1
-23.63372,-56.86572,297.6,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.6,0.4
-25.21358,-60.42135,297.8,0.4,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.2,0.6
-26.12527,-61.25037,296.6,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,282.6,0.7
-29.08107,-49.54852,298.1,0.6,0.4,2017-04-29,04:42,N,nominal,1.0NRT,279.6,0.7
-28.2585,-58.67389,300,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,282.2,1.3
-29.81314,-51.17509,300.5,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.8,0.6
-29.81683,-51.1757,296.5,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,283.1,0.8
-29.87351,-51.15641,296.1,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.5,0.7
-30.46959,-51.56065,309.4,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,280.5,0.6
-29.33185,-61.271,309.2,0.4,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.6,0.9
-29.33291,-61.26941,310.2,0.4,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.3,1.3
-29.57226,-62.26693,305.5,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,282.6,1.3
-29.5712,-62.26871,304.3,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,282.9,0.9
-29.57657,-62.26515,305.6,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.1,0.9
-29.5809,-62.26637,303.7,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.5,0.9
-29.58523,-62.2676,296.4,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.3,1
-29.58627,-62.26282,314.7,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.5,1
-29.5906,-62.26404,308.5,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.8,1
-29.59163,-62.25925,297.9,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,282.7,1
-29.59597,-62.26047,312.1,0.5,0.5,2017-04-29,04:42,N,nominal,1.0NRT,283.7,1.5
-33.2546,-60.28554,322.9,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,289.4,2.8
-33.25561,-60.28754,329.6,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,290.2,3.6
-33.25661,-60.28241,302.3,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,287.5,3.6
-33.35811,-60.15418,332,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,288.5,4.2
-33.36175,-60.15514,328,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.3,2.1
-33.36272,-60.15005,302.1,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,287,2.1
-33.36808,-60.1622,333.8,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,289.1,5
-33.36904,-60.1571,301.4,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.7,1.2
-33.37,-60.15202,314,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.8,1.2
-33.3746,-60.14793,324.5,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,287.9,2.8
-33.37268,-60.15808,298.1,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.9,1.2
-33.37823,-60.14893,319,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.6,2.9
-34.37837,-55.27911,296.3,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.3,0.7
-34.14759,-58.98462,320.9,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.8,1.8
-34.14772,-58.98692,324.6,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,286.7,2.8
-34.15629,-58.97957,302.1,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,287.8,1.2
-34.79845,-58.19017,297.4,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.8,0.4
-34.85595,-57.89246,297.8,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,287.1,0.9
-34.85931,-57.8933,318.3,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.7,0.9
-34.90054,-58.00124,304.3,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,284.6,0.8
-33.3425,-66.4385,309.2,0.3,0.6,2017-04-29,04:42,N,nominal,1.0NRT,284.2,0.8
-33.34748,-66.44034,301.5,0.3,0.6,2017-04-29,04:42,N,nominal,1.0NRT,283.4,0.6
-33.06513,-68.97609,295.1,0.5,0.7,2017-04-29,04:42,N,nominal,1.0NRT,283.8,1.3
-33.29294,-70.7289,304.4,0.6,0.7,2017-04-29,04:42,N,nominal,1.0NRT,282.7,1.4
-36.98354,-60.24806,298.8,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,278,1.3
-36.993,-60.2762,306.6,0.4,0.4,2017-04-29,04:42,N,nominal,1.0NRT,281.1,1.3
-38.68564,-62.41389,310.1,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,282.3,1.3
-38.78661,-62.28323,295.4,0.5,0.4,2017-04-29,04:42,N,nominal,1.0NRT,285.3,0.7
-36.72939,-71.80778,300.3,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,280.4,1
-36.73355,-71.81657,312.2,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,282.6,3.6
-38.04769,-68.85381,298.5,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281.9,0.7
-38.05271,-68.85595,319.6,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281.2,0.7
-38.0537,-68.85209,300.3,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,280.4,0.7
-38.05299,-68.85365,326.2,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281.9,1.8
-38.05198,-68.85749,300.1,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281,1.7
-38.1513,-68.64663,297.3,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281.2,1.2
-38.15227,-68.64289,312.3,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,281.3,1
-38.14793,-68.80943,296.4,0.3,0.6,2017-04-29,04:48,N,nominal,1.0NRT,282.1,0.7
-37.66633,-72.4798,302.2,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,284.5,3.1
-37.66806,-72.47394,298.8,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,284,1.4
-37.67405,-72.47667,324.4,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,284.9,1.4
-37.67575,-72.47095,296.6,0.5,0.7,2017-04-29,04:48,N,nominal,1.0NRT,283.1,1.4
-45.76315,-68.27829,308,0.4,0.5,2017-04-29,04:48,N,nominal,1.0NRT,260.9,0.7
11.74966,-70.17047,320.5,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,291.2,2.5
11.74309,-70.19325,307.3,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,289.8,1.4
11.74033,-70.19732,314.7,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,288.4,1.4
11.73977,-70.1938,310.6,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,290.1,1.4
11.73735,-70.19832,337.3,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,288.8,4.8
11.73679,-70.19479,307.9,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,287.6,4.8
11.73575,-70.23112,329.9,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,288,2.8
10.18554,-61.69496,303.5,0.4,0.6,2017-04-29,06:12,N,nominal,1.0NRT,288.9,1.2
10.17958,-61.69263,313,0.4,0.6,2017-04-29,06:12,N,nominal,1.0NRT,289.5,1.2
10.17895,-61.68928,305.9,0.4,0.6,2017-04-29,06:12,N,nominal,1.0NRT,289.1,1.4
11.63139,-70.23344,308.7,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,289.8,1.7
11.62309,-70.22395,337.2,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,291.9,8.4
11.62253,-70.22043,317,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,289.4,8.4
11.61977,-70.2245,335,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,289.7,4.3
11.61922,-70.22098,312.5,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,289.1,4.3
10.32238,-63.37999,301.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,280.5,1.6
10.08137,-62.26055,336.4,0.3,0.6,2017-04-29,06:12,N,nominal,1.0NRT,284.8,2.3
10.08196,-62.26366,304.2,0.3,0.6,2017-04-29,06:12,N,nominal,1.0NRT,284.3,2
10.39812,-64.16613,306.3,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.6,0.7
10.00723,-62.23909,304.8,0.3,0.6,2017-04-29,06:12,N,nominal,1.0NRT,286.4,0.9
10.96091,-68.31186,302.7,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,282,1.5
10.24441,-64.55624,306.4,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.3,1.7
10.23134,-64.55936,306.5,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.7,1.6
10.04689,-63.64878,300.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,282.3,1.3
10.20965,-64.61631,304,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,286.4,0.6
9.85302,-63.33798,302.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,286.3,0.8
10.07755,-64.86155,321.1,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.8,2.8
10.0798,-64.87404,308.1,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.9,1.4
10.07626,-64.85978,321.9,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.5,3.2
10.07771,-64.89391,331,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,293.5,2.5
10.07843,-64.89806,312.8,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292.7,2.5
10.07341,-64.89474,306.5,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292.1,2.5
9.77778,-63.26922,325.2,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290,4.7
10.06051,-64.89725,323.7,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.9,6.2
